EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,SalarySlab,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryGap,DailyRateGap
RM1272,21,18-25,1,Travel_Rarely,Sales,7,1,Marketing,2,Male,31,3,1,Sales Representative,2,Single,Upto 5k,4567,1,No,13,3,2,0,1,3,3,1,0,1,0.0,107.0,-409.0
RM1437,21,18-25,0,Travel_Rarely,Sales,5,1,Medical,3,Male,58,3,1,Sales Representative,1,Single,Upto 5k,25479,1,Yes,11,3,4,0,2,6,3,2,2,1,2.0,-192.0,-245.0
RM018,22,18-25,0,Non-Travel,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,Upto 5k,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0.0,242.0,290.5
RM110,22,18-25,0,Travel_Rarely,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,Upto 5k,23785,1,No,15,3,3,0,1,5,3,0,0,0,0.0,178.0,-298.5
RM129,22,18-25,0,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,Upto 5k,19299,0,No,14,3,3,1,3,2,3,2,1,2,1.0,-170.0,-238.5
RM161,22,18-25,0,Travel_Rarely,Research & Development,19,1,Medical,3,Male,80,3,1,Research Scientist,4,Married,Upto 5k,11992,1,No,24,4,1,2,2,6,3,2,2,2,2.0,-370.0,423.5
RM207,22,18-25,0,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Male,60,4,1,Research Scientist,2,Divorced,Upto 5k,12392,1,Yes,16,3,1,1,4,2,2,4,2,2,3.0,-365.0,303.5
RM384,22,18-25,0,Travel_Rarely,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,Upto 5k,24440,1,No,13,3,4,1,2,1,3,2,1,1,2.0,-449.0,-579.5
RM444,22,18-25,1,Travel_Frequently,Research & Development,4,1,Technical Degree,3,Male,99,2,1,Laboratory Technician,3,Single,Upto 5k,9129,5,No,16,3,3,0,4,3,3,2,2,1,2.0,1201.0,535.5
RM499,22,18-25,0,Travel_Rarely,Research & Development,6,1,Medical,1,Male,69,3,1,Research Scientist,3,Married,Upto 5k,12145,0,No,20,4,4,0,3,3,3,2,2,2,2.0,80.0,-228.5
RM631,22,18-25,0,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,33,2,2,Manufacturing Director,4,Married,Upto 5k,19146,6,No,22,4,1,2,4,2,1,2,2,2,2.0,-443.0,477.5
RM667,22,18-25,1,Travel_Rarely,Research & Development,3,1,Life Sciences,2,Female,34,3,2,Manufacturing Director,3,Married,Upto 5k,10022,0,Yes,19,3,1,1,4,3,4,3,2,0,2.0,-1047.0,-135.5
RM735,22,18-25,0,Travel_Rarely,Research & Development,8,1,Life Sciences,2,Male,94,1,1,Laboratory Technician,1,Married,Upto 5k,6881,1,No,15,3,1,1,4,3,2,4,3,1,1.0,-242.0,-615.5
RM861,22,18-25,1,Travel_Frequently,Research & Development,3,4,Life Sciences,3,Male,48,2,1,Research Scientist,4,Married,Upto 5k,4223,0,Yes,11,3,2,1,1,5,3,0,0,0,0.0,160.0,423.5
RM1138,22,18-25,0,Non-Travel,Research & Development,26,2,Other,2,Female,85,2,1,Research Scientist,3,Married,Upto 5k,10293,1,Yes,14,3,2,0,4,2,2,4,2,1,3.0,121.0,-375.5
RM1274,22,18-25,1,Travel_Rarely,Research & Development,8,1,Medical,3,Female,79,3,1,Laboratory Technician,1,Married,Upto 5k,15999,1,Yes,17,3,3,0,1,6,3,1,0,0,0.0,-295.0,461.5
RM1340,22,18-25,1,Travel_Rarely,Research & Development,7,1,Life Sciences,4,Male,75,3,1,Research Scientist,2,Single,Upto 5k,26092,1,Yes,23,4,1,0,1,2,3,1,0,0,0.0,-221.0,-441.5
RM1424,22,18-25,0,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,63,3,1,Research Scientist,3,Single,Upto 5k,17624,0,No,12,3,4,0,4,2,4,3,2,1,2.0,682.0,-251.5
RM087,23,18-25,0,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,Upto 5k,9518,3,No,13,3,3,1,3,3,3,0,0,0,0.0,-250.0,-205.0
RM346,23,18-25,0,Travel_Rarely,Research & Development,26,1,Life Sciences,3,Male,83,3,1,Research Scientist,4,Divorced,Upto 5k,16092,1,No,12,3,3,2,4,2,2,4,2,0,2.0,211.0,476.5
RM517,23,18-25,0,Travel_Rarely,Research & Development,4,3,Medical,1,Male,58,4,1,Research Scientist,1,Married,Upto 5k,8544,2,No,16,3,1,1,5,3,4,3,2,0,2.0,126.0,52.5
RM551,23,18-25,0,Travel_Rarely,Research & Development,9,1,Medical,2,Male,37,3,1,Laboratory Technician,1,Married,Upto 5k,4344,1,No,14,3,4,1,5,2,4,4,3,0,2.0,-193.0,-182.5
RM566,23,18-25,0,Travel_Rarely,Research & Development,10,1,Medical,1,Male,79,4,1,Research Scientist,3,Single,Upto 5k,19630,1,No,18,3,4,0,2,3,3,2,2,0,2.0,812.0,-522.5
RM586,23,18-25,1,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Male,63,4,1,Laboratory Technician,1,Married,Upto 5k,3445,1,Yes,21,4,3,2,1,2,3,0,0,0,0.0,-1092.0,410.5
RM911,23,18-25,0,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,47,3,1,Research Scientist,3,Married,Upto 5k,16901,1,No,22,4,4,1,1,2,3,1,0,0,1.0,-1470.0,-459.5
RM1083,23,18-25,0,Travel_Rarely,Research & Development,20,1,Life Sciences,1,Male,97,3,2,Laboratory Technician,3,Single,Upto 5k,24812,0,No,14,3,2,0,5,2,3,4,3,1,2.0,-2946.0,-245.5
RM1128,23,18-25,0,Travel_Rarely,Research & Development,10,3,Technical Degree,4,Male,45,4,1,Research Scientist,3,Married,Upto 5k,12826,2,No,16,3,4,1,4,2,3,2,2,2,2.0,-620.0,144.5
RM1202,23,18-25,1,Travel_Rarely,Research & Development,8,1,Medical,4,Male,93,2,1,Laboratory Technician,3,Single,Upto 5k,20586,1,Yes,11,3,1,0,5,2,3,5,4,1,2.0,1296.0,487.5
RM1214,23,18-25,1,Travel_Rarely,Sales,7,3,Life Sciences,3,Male,99,3,1,Sales Representative,4,Divorced,Upto 5k,25103,1,Yes,21,4,2,1,3,2,3,3,2,0,2.0,-297.0,-319.0
RM1239,23,18-25,0,Travel_Rarely,Research & Development,4,1,Medical,3,Female,51,3,1,Laboratory Technician,2,Single,Upto 5k,12862,1,No,13,3,3,0,3,3,1,3,2,1,2.0,602.0,-672.5
RM1409,23,18-25,0,Travel_Rarely,Research & Development,12,2,Other,4,Male,78,3,1,Laboratory Technician,4,Single,Upto 5k,13672,1,No,13,3,3,0,5,6,4,5,2,1,4.0,-46.0,-261.5
RM1439,23,18-25,1,Travel_Frequently,Sales,9,3,Marketing,4,Male,33,3,1,Sales Representative,1,Married,Upto 5k,26956,1,No,19,3,1,1,1,3,2,1,0,1,0.0,-782.0,-108.0
RM021,24,18-25,0,Non-Travel,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,Upto 5k,8232,0,No,18,3,4,1,5,5,2,4,2,1,3.0,-1207.0,-79.5
RM035,24,18-25,1,Travel_Rarely,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,Upto 5k,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0.0,-400.0,-19.5
RM097,24,18-25,0,Travel_Rarely,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,Upto 5k,17519,0,No,21,4,1,1,4,2,2,3,2,0,2.0,-424.0,577.5
RM114,24,18-25,0,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,Upto 5k,13257,0,No,12,3,3,1,6,2,3,5,3,1,2.0,81.0,294.5
RM381,24,18-25,0,Travel_Rarely,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,Upto 5k,5915,1,Yes,12,3,4,1,5,2,4,5,2,0,3.0,-1163.0,595.5
RM415,24,18-25,1,Travel_Rarely,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,Upto 5k,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4.0,630.0,702.0
RM471,24,18-25,0,Travel_Frequently,Sales,24,3,Medical,4,Male,38,3,1,Sales Representative,4,Married,Upto 5k,5530,0,No,13,3,3,2,3,3,3,2,2,2,1.0,-172.0,-211.0
RM475,24,18-25,0,Travel_Rarely,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,Upto 5k,21630,1,Yes,11,3,2,2,6,3,3,6,5,1,4.0,32.0,-141.5
RM477,24,18-25,0,Travel_Rarely,Research & Development,17,2,Other,4,Male,94,2,1,Laboratory Technician,2,Married,Upto 5k,9100,1,No,21,4,4,1,1,2,3,1,0,0,0.0,-566.0,-9.5
RM480,24,18-25,1,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Female,55,3,1,Laboratory Technician,3,Married,Upto 5k,14168,1,Yes,16,3,4,1,6,4,3,6,3,1,2.0,193.0,454.5
RM526,24,18-25,1,Travel_Rarely,Sales,3,2,Life Sciences,1,Female,65,3,2,Sales Executive,3,Single,Upto 5k,24785,9,No,14,3,1,0,4,3,3,2,2,2,0.0,-846.0,-82.5
RM587,24,18-25,0,Non-Travel,Research & Development,9,3,Life Sciences,3,Male,60,2,1,Laboratory Technician,2,Divorced,Upto 5k,26551,1,No,11,3,3,3,1,4,3,1,0,0,0.0,1.0,259.5
RM641,24,18-25,0,Non-Travel,Research & Development,4,1,Life Sciences,1,Male,46,2,1,Laboratory Technician,4,Married,Upto 5k,10778,0,No,17,3,4,0,6,2,2,5,2,3,4.0,469.0,436.5
RM725,24,18-25,0,Travel_Rarely,Research & Development,17,1,Medical,4,Female,41,2,2,Manufacturing Director,3,Divorced,Upto 5k,24117,1,No,15,3,2,2,5,6,3,4,2,3,2.0,-841.0,453.5
RM842,24,18-25,0,Travel_Rarely,Research & Development,24,3,Medical,4,Male,49,3,1,Laboratory Technician,2,Single,Upto 5k,6409,8,No,22,4,4,0,6,2,3,4,3,1,2.0,904.0,-355.5
RM872,24,18-25,1,Travel_Rarely,Research & Development,17,2,Life Sciences,4,Female,97,3,1,Laboratory Technician,2,Married,Upto 5k,3372,1,No,13,3,1,1,1,3,1,1,0,0,0.0,-483.0,151.5
RM1026,24,18-25,0,Travel_Rarely,Sales,4,1,Medical,4,Female,42,3,2,Sales Executive,3,Married,Upto 5k,15211,1,Yes,12,3,3,2,5,3,3,5,4,0,3.0,-1261.0,700.5
RM1061,24,18-25,1,Travel_Frequently,Research & Development,9,3,Medical,2,Male,89,3,1,Laboratory Technician,1,Single,Upto 5k,16998,2,Yes,11,3,3,0,4,2,2,0,0,0,0.0,479.0,-451.5
RM1062,24,18-25,0,Non-Travel,Sales,13,2,Life Sciences,4,Female,78,3,1,Sales Representative,2,Married,Upto 5k,7103,1,No,13,3,3,1,1,2,3,1,0,0,0.0,-539.0,84.0
RM1098,24,18-25,0,Travel_Rarely,Research & Development,21,2,Technical Degree,3,Male,57,2,1,Laboratory Technician,1,Divorced,Upto 5k,10036,0,No,14,3,2,3,2,3,3,1,1,0,0.0,-397.0,-482.5
RM1169,24,18-25,0,Travel_Frequently,Research & Development,2,1,Technical Degree,1,Female,32,3,1,Research Scientist,4,Single,Upto 5k,17218,1,Yes,13,3,3,0,6,2,3,6,3,1,3.0,1067.0,-265.5
RM1218,24,18-25,0,Travel_Rarely,Research & Development,9,3,Medical,3,Male,62,4,1,Research Scientist,3,Married,Upto 5k,17616,1,No,16,3,4,1,5,1,3,5,3,0,4.0,1708.0,-251.5
RM1223,24,18-25,1,Travel_Rarely,Human Resources,22,1,Human Resources,4,Male,58,1,1,Human Resources,3,Married,Upto 5k,11585,1,No,11,3,3,1,1,2,3,1,0,0,0.0,-1141.0,-548.0
RM1231,24,18-25,0,Travel_Rarely,Research & Development,29,1,Medical,2,Male,91,3,1,Laboratory Technician,1,Divorced,Upto 5k,3622,1,No,13,3,2,3,6,2,4,6,2,1,2.0,1214.0,-326.5
RM1246,24,18-25,0,Travel_Frequently,Human Resources,10,3,Medical,1,Male,59,3,1,Human Resources,4,Married,Upto 5k,2097,0,No,14,3,4,1,3,2,3,2,2,2,1.0,-551.0,109.0
RM1408,24,18-25,0,Travel_Rarely,Research & Development,1,2,Life Sciences,2,Male,45,2,2,Healthcare Representative,3,Single,Upto 5k,14120,1,No,12,3,2,0,4,2,2,4,3,1,2.0,-601.0,18.5
RM108,25,18-25,1,Travel_Rarely,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5k-10k,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3.0,321.0,-535.5
RM109,25,18-25,0,Travel_Rarely,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,Upto 5k,26897,1,No,11,3,3,2,2,2,3,2,2,2,1.0,196.0,447.5
RM139,25,18-25,0,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,5k-10k,24835,2,No,18,3,4,0,6,3,3,2,2,2,3.0,3216.0,183.5
RM256,25,18-25,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,62,3,2,Manufacturing Director,3,Married,Upto 5k,7505,0,No,12,3,4,2,5,3,3,4,2,1,3.0,-320.0,-67.5
RM268,25,18-25,0,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,85,4,2,Healthcare Representative,1,Divorced,Upto 5k,18384,1,No,12,3,4,2,6,2,3,6,3,1,5.0,-1218.0,-77.5
RM398,25,18-25,0,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,Upto 5k,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3.0,-936.0,115.5
RM406,25,18-25,1,Travel_Rarely,Research & Development,3,3,Medical,1,Male,91,3,1,Laboratory Technician,1,Married,Upto 5k,9396,5,No,13,3,3,1,6,5,3,2,2,0,3.0,1338.0,-144.5
RM479,25,18-25,0,Travel_Rarely,Sales,13,1,Medical,2,Male,40,3,1,Sales Representative,3,Married,Upto 5k,26376,1,No,11,3,3,0,7,1,3,7,4,0,6.0,-476.0,-124.0
RM518,25,18-25,0,Travel_Rarely,Sales,8,3,Life Sciences,4,Male,57,4,2,Sales Executive,2,Married,Upto 5k,15678,0,No,22,4,3,1,4,4,3,3,2,1,2.0,-572.0,34.5
RM564,25,18-25,0,Travel_Rarely,Sales,26,1,Medical,3,Female,32,3,2,Sales Executive,4,Single,5k-10k,22807,1,No,23,4,2,0,6,5,2,6,5,1,4.0,757.0,107.5
RM619,25,18-25,0,Travel_Rarely,Research & Development,2,1,Medical,1,Male,65,4,1,Research Scientist,1,Single,Upto 5k,21632,7,No,13,3,3,0,6,3,2,4,3,0,1.0,731.0,-652.5
RM635,25,18-25,0,Travel_Rarely,Sales,3,1,Other,3,Male,98,3,2,Sales Executive,1,Married,Upto 5k,14363,1,Yes,18,3,4,0,5,3,3,5,3,0,3.0,-1229.0,-634.5
RM639,25,18-25,0,Travel_Rarely,Sales,4,1,Marketing,3,Male,87,2,2,Sales Executive,1,Married,Upto 5k,18154,1,No,12,3,1,0,5,1,4,5,2,0,3.0,-1167.0,-192.5
RM684,25,18-25,1,Travel_Rarely,Sales,19,2,Marketing,3,Male,36,2,1,Sales Representative,2,Married,Upto 5k,18798,1,Yes,18,3,3,3,1,2,3,1,0,0,0.0,-159.0,121.0
RM797,25,18-25,1,Travel_Rarely,Research & Development,4,1,Technical Degree,4,Male,32,3,1,Laboratory Technician,4,Married,Upto 5k,4605,1,Yes,15,3,2,1,7,3,4,7,7,5,6.0,998.0,386.5
RM886,25,18-25,0,Travel_Rarely,Sales,10,4,Life Sciences,3,Male,57,3,2,Sales Executive,4,Single,Upto 5k,20623,0,No,14,3,2,0,5,4,3,4,3,1,1.0,-473.0,580.5
RM912,25,18-25,1,Travel_Frequently,Sales,24,1,Life Sciences,3,Male,73,1,1,Sales Representative,4,Single,Upto 5k,8040,1,Yes,14,3,4,0,1,4,3,1,0,1,0.0,-1454.0,-147.0
RM935,25,18-25,0,Travel_Rarely,Research & Development,1,3,Medical,4,Female,40,3,1,Research Scientist,2,Single,Upto 5k,18830,1,No,18,3,4,0,2,3,2,2,2,2,1.0,-597.0,-566.5
RM966,25,18-25,0,Travel_Rarely,Research & Development,19,1,Medical,4,Male,67,3,1,Laboratory Technician,4,Married,Upto 5k,9075,3,No,11,3,3,3,7,6,2,3,2,1,2.0,976.0,49.5
RM994,25,18-25,0,Travel_Rarely,Sales,18,1,Life Sciences,1,Male,93,4,2,Sales Executive,3,Married,5k-10k,12477,2,No,11,3,2,0,6,3,2,3,2,1,2.0,809.0,596.5
RM1004,25,18-25,0,Travel_Rarely,Research & Development,1,3,Technical Degree,1,Male,81,3,1,Laboratory Technician,4,Married,Upto 5k,4910,4,No,11,3,2,1,7,2,2,3,2,0,2.0,536.0,116.5
RM1022,25,18-25,1,Travel_Rarely,Sales,9,2,Life Sciences,1,Male,68,2,1,Sales Representative,1,Married,Upto 5k,15182,3,No,12,3,1,0,6,2,3,3,2,2,2.0,1828.0,-363.0
RM1175,25,18-25,0,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,77,4,2,Manufacturing Director,3,Divorced,5k-10k,4973,1,No,17,3,3,2,7,6,3,7,7,0,7.0,-12.0,19.5
RM1412,25,18-25,0,Travel_Rarely,Human Resources,2,3,Human Resources,3,Female,82,3,1,Human Resources,2,Married,Upto 5k,19655,4,No,14,3,3,0,6,3,3,2,0,1,2.0,-509.0,-479.0
RM1414,25,18-25,0,Travel_Rarely,Research & Development,2,1,Other,4,Male,57,3,1,Laboratory Technician,3,Divorced,Upto 5k,7298,6,Yes,19,3,3,1,7,2,2,2,2,0,2.0,1284.0,144.5
RM1434,25,18-25,0,Travel_Rarely,Sales,8,2,Other,1,Female,85,3,2,Sales Executive,3,Divorced,Upto 5k,13684,0,Yes,22,4,2,1,6,3,2,5,3,0,4.0,-516.0,606.5
RM043,26,26-35,1,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,Upto 5k,10558,1,No,12,3,3,0,1,2,2,1,0,0,1.0,-400.0,524.5
